ECO_Code,Name,Moves,Short_Name,Ref_Link
A00,Uncommon Opening,,Uncommon Opening,https://www.chess.com/openings/Polish-Opening
A01,Nimzovich-Larsen Attack,1 b3,Nimzovich-Larsen Attack,https://www.chess.com/openings/Nimzowitsch-Larsen-Attack
A02,Bird's Opening,1 f4,Bird's Opening,https://www.chess.com/openings/Birds-Opening
A03,Bird's Opening,1 f4 d5,Bird's Opening,https://www.chess.com/openings/Birds-Opening
A04,Reti Opening,1 Nf3,Reti Opening,https://www.chess.com/openings/Reti-Opening
A05,Reti Opening,1 Nf3 Nf6,Reti Opening,https://www.chess.com/openings/Reti-Opening
A06,Reti Opening,1 Nf3 d5,Reti Opening,https://www.chess.com/openings/Reti-Opening
A07,King's Indian Attack,1 Nf3 d5 2 g3,King's Indian Attack,https://www.chess.com/openings/Kings-Indian-Attack
A08,King's Indian Attack,1 Nf3 d5 2 g3 c5 3 Bg2,King's Indian Attack,https://www.chess.com/openings/Kings-Indian-Attack
A09,Reti Opening,1 Nf3 d5 2 c4,Reti Opening,https://www.chess.com/openings/Reti-Opening
A10,English,1 c4,English,https://www.chess.com/openings/English-Opening
A11,"English, Caro-Kann Defensive System",1 c4 c6,English,https://www.chess.com/openings/English-Opening
A12,English with b3,1 c4 c6 2 Nf3 d5 3 b3,English,https://www.chess.com/openings/English-Opening
A13,English,1 c4 e6,English,https://www.chess.com/openings/English-Opening
A14,English,1 c4 e6 2 Nf3 d5 3 g3 Nf6 4 Bg2 Be7 5 O-O,English,https://www.chess.com/openings/English-Opening
A15,English,1 c4 Nf6,English,https://www.chess.com/openings/English-Opening
A16,English,1 c4 Nf6 2 Nc3,English,https://www.chess.com/openings/English-Opening
A17,English,1 c4 Nf6 2 Nc3 e6,English,https://www.chess.com/openings/English-Opening
A18,"English, Mikenas-Carls",1 c4 Nf6 2 Nc3 e6 3 e4,English,https://www.chess.com/openings/English-Opening
A19,"English, Mikenas-Carls, Sicilian Variation",1 c4 Nf6 2 Nc3 e6 3 e4 c5,English,https://www.chess.com/openings/English-Opening
A20,English,1 c4 e5,English,https://www.chess.com/openings/English-Opening
A21,English,1 c4 e5 2 Nc3,English,https://www.chess.com/openings/English-Opening
A22,English,1 c4 e5 2 Nc3 Nf6,English,https://www.chess.com/openings/English-Opening
A23,"English, Bremen System, Keres Variation",1 c4 e5 2 Nc3 Nf6 3 g3 c6,English,https://www.chess.com/openings/English-Opening
A24,"English, Bremen System with ...g6",1 c4 e5 2 Nc3 Nf6 3 g3 g6,English,https://www.chess.com/openings/English-Opening
A25,English,1 c4 e5 2 Nc3 Nc6,English,https://www.chess.com/openings/English-Opening
A26,English,1 c4 e5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 d3 d6,English,https://www.chess.com/openings/English-Opening
A27,"English, Three Knights System",1 c4 e5 2 Nc3 Nc6 3 Nf3,English,https://www.chess.com/openings/English-Opening
A28,English,1 c4 e5 2 Nc3 Nc6 3 Nf3 Nf6,English,https://www.chess.com/openings/English-Opening
A29,"English, Four Knights, Kingside Fianchetto",1 c4 e5 2 Nc3 Nc6 3 Nf3 Nf6 4 g3,English,https://www.chess.com/openings/English-Opening
A30,"English, Symmetrical",1 c4 c5,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A31,"English, Symmetrical, Benoni Formation",1 c4 c5 2 Nf3 Nf6 3 d4,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A32,"English, Symmetrical Variation",1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A33,"English, Symmetrical",1 c4 c5 2 Nf3 Nf6 3 d4 cxd4 4 Nxd4 e6 5 Nc3 Nc6,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A34,"English, Symmetrical",1 c4 c5 2 Nc3,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A35,"English, Symmetrical",1 c4 c5 2 Nc3 Nc6,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A36,English,1 c4 c5 2 Nc3 Nc6 3 g3,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A37,"English, Symmetrical",1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A38,"English, Symmetrical",1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A39,"English, Symmetrical, Main line with d4",1 c4 c5 2 Nc3 Nc6 3 g3 g6 4 Bg2 Bg7 5 Nf3 Nf6 6 O-O O-O 7 d4,English Opening: Symmetrical,https://www.chess.com/openings/English-Opening-Symmetrical-Variation
A40,Queen's Pawn Game,1 d4,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
A41,Queen's Pawn Game (with ...d6),1 d4 d6,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
A42,"Modern Defense, Averbakh System",1 d4 d6 2 c4 g6 3 Nc3 Bg7 4 e4,Modern Defense,https://www.chess.com/openings/Modern-Defense
A43,Old Benoni,1 d4 c5,Old Benoni Defense,https://www.chess.com/openings/Old-Benoni-Defense
A44,Old Benoni Defense,1 d4 c5 2 d5 e5,Old Benoni Defense,https://www.chess.com/openings/Old-Benoni-Defense
A45,Queen's Pawn Game,1 d4 Nf6,Queen's Pawn Game,https://www.chess.com/openings/Queens-Pawn-Opening
